instructor_id,name,department,max_load_per_week
CSE-I01,Prof. CSE1,CSE,4
CSE-I02,Prof. CSE2,CSE,4
CSE-I03,Prof. CSE3,CSE,4
CSE-I04,Prof. CSE4,CSE,4
CSE-I05,Prof. CSE5,CSE,4
ECE-I01,Prof. ECE1,ECE,4
ECE-I02,Prof. ECE2,ECE,4
ECE-I03,Prof. ECE3,ECE,4
ECE-I04,Prof. ECE4,ECE,4
ECE-I05,Prof. ECE5,ECE,4
ME-I01,Prof. ME1,ME,4
ME-I02,Prof. ME2,ME,4
ME-I03,Prof. ME3,ME,4
ME-I04,Prof. ME4,ME,4
ME-I05,Prof. ME5,ME,4
CE-I01,Prof. CE1,CE,4
CE-I02,Prof. CE2,CE,4
CE-I03,Prof. CE3,CE,4
CE-I04,Prof. CE4,CE,4
CE-I05,Prof. CE5,CE,4
EE-I01,Prof. EE1,EE,4
EE-I02,Prof. EE2,EE,4
EE-I03,Prof. EE3,EE,4
EE-I04,Prof. EE4,EE,4
EE-I05,Prof. EE5,EE,4
MCA-I01,Prof. MCA1,MCA,4
MCA-I02,Prof. MCA2,MCA,4
MCA-I03,Prof. MCA3,MCA,4
MCA-I04,Prof. MCA4,MCA,4
MCA-I05,Prof. MCA5,MCA,4
PhD-I01,Prof. PhD1,PhD,4
PhD-I02,Prof. PhD2,PhD,4
PhD-I03,Prof. PhD3,PhD,4
PhD-I04,Prof. PhD4,PhD,4
PhD-I05,Prof. PhD5,PhD,4
